country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
United States,2005,male,75+ years,1764,2255283,78.22,United States2005,0.943,57603723,25541,Generation X
United States,2005,female,5-14 years,14,561662,2.49,United States2005,0.943,14345792,25541,Generation X
United States,2005,female,15-24 years,106,1721225,6.16,United States2005,0.943,43962983,25541,Generation Z
United States,2005,female,25-34 years,507,3540943,14.32,United States2005,0.943,90441643,25541,Generation Z
United States,2005,female,35-54 years,197,1921504,10.25,United States2005,0.943,49078445,25541,Silent
United States,2005,female,55-74 years,1116,3755689,29.71,United States2005,0.943,95926617,25541,Millenials
United States,2005,female,75+ years,304,1623248,18.73,United States2005,0.943,41460485,25541,Millenials
United States,2006,male,5-14 years,15,224887,6.67,United States2006,0.945,5476107,24350,Generation Z
United States,2006,male,15-24 years,1222,4019804,30.4,United States2006,0.945,97884168,24350,Boomers
United States,2006,male,25-34 years,708,2978551,23.77,United States2006,0.945,72529154,24350,G.I. Generation
United States,2006,male,35-54 years,691,2434870,28.38,United States2006,0.945,59290259,24350,Silent
United States,2006,male,55-74 years,720,4329942,16.63,United States2006,0.945,105436178,24350,Generation Z
United States,2006,male,75+ years,870,2777995,31.32,United States2006,0.945,67645519,24350,Boomers
United States,2006,female,5-14 years,51,1235940,4.13,United States2006,0.945,30095735,24350,Millenials
United States,2006,female,15-24 years,132,1133024,11.65,United States2006,0.945,27589681,24350,Boomers
United States,2006,female,25-34 years,243,837178,29.03,United States2006,0.945,20385688,24350,G.I. Generation
United States,2006,female,35-54 years,456,4016893,11.35,United States2006,0.945,97813283,24350,Silent
United States,2006,female,55-74 years,132,321683,41.03,United States2006,0.945,7833136,24350,Generation X
United States,2006,female,75+ years,297,3504799,8.47,United States2006,0.945,85343547,24350,Silent
United States,2007,male,5-14 years,25,650591,3.84,United States2007,0.947,16681868,25641,Generation X
United States,2007,male,15-24 years,1353,4783353,28.29,United States2007,0.947,122650430,25641,Generation Z
United States,2007,male,25-34 years,270,3704188,7.29,United States2007,0.947,94979453,25641,G.I. Generation
United States,2007,male,35-54 years,224,3837661,5.84,United States2007,0.947,98401847,25641,Millenials
United States,2007,male,55-74 years,183,651953,28.07,United States2007,0.947,16716791,25641,Millenials
United States,2007,male,75+ years,345,2476034,13.93,United States2007,0.947,63488234,25641,Boomers
United States,2007,female,5-14 years,37,1031368,3.59,United States2007,0.947,26445409,25641,Silent
United States,2007,female,15-24 years,871,4755899,18.31,United States2007,0.947,121946479,25641,Silent
United States,2007,female,25-34 years,566,3204127,17.66,United States2007,0.947,82157339,25641,Millenials
United States,2007,female,35-54 years,882,3483026,25.32,United States2007,0.947,89308616,25641,Silent
United States,2007,female,55-74 years,91,327254,27.81,United States2007,0.947,8391152,25641,Boomers
United States,2007,female,75+ years,591,2063215,28.64,United States2007,0.947,52903101,25641,G.I. Generation
United States,2008,male,5-14 years,343,3204510,10.7,United States2008,0.949,93854778,29288,G.I. Generation
United States,2008,male,15-24 years,62,1139797,5.44,United States2008,0.949,33382761,29288,Silent
United States,2008,male,25-34 years,105,387023,27.13,United States2008,0.949,11335261,29288,Silent
United States,2008,male,35-54 years,629,1731083,36.34,United States2008,0.949,50700547,29288,Silent
United States,2008,male,55-74 years,522,1451333,35.97,United States2008,0.949,42507134,29288,Silent
United States,2008,male,75+ years,2136,3218925,66.36,United States2008,0.949,94276969,29288,Millenials
United States,2008,female,5-14 years,212,4844386,4.38,United States2008,0.949,141884023,29288,G.I. Generation
United States,2008,female,15-24 years,510,4954424,10.29,United States2008,0.949,145106854,29288,Generation Z
United States,2008,female,25-34 years,281,2896960,9.7,United States2008,0.949,84847149,29288,Generation X
United States,2008,female,35-54 years,200,1343533,14.89,United States2008,0.949,39349851,29288,Boomers
United States,2008,female,55-74 years,726,4166995,17.42,United States2008,0.949,122044365,29288,Generation X
United States,2008,female,75+ years,212,456729,46.42,United States2008,0.949,13376834,29288,Generation X
United States,2009,male,5-14 years,562,4760297,11.81,United States2009,0.951,128461853,26986,Millenials
United States,2009,male,15-24 years,153,640179,23.9,United States2009,0.951,17275934,26986,Millenials
United States,2009,male,25-34 years,1528,3811397,40.09,United States2009,0.951,102854742,26986,Millenials
United States,2009,male,35-54 years,2843,4668459,60.9,United States2009,0.951,125983503,26986,Silent
United States,2009,male,55-74 years,1179,2319346,50.83,United States2009,0.951,62590104,26986,Silent
United States,2009,male,75+ years,2714,4849529,55.96,United States2009,0.951,130869876,26986,Generation X
United States,2009,female,5-14 years,10,685388,1.46,United States2009,0.951,18495949,26986,Silent
United States,2009,female,15-24 years,367,2103927,17.44,United States2009,0.951,56776785,26986,Millenials
United States,2009,female,25-34 years,156,607221,25.69,United States2009,0.951,16386526,26986,Generation X
United States,2009,female,35-54 years,549,4425727,12.4,United States2009,0.951,119433113,26986,Millenials
United States,2009,female,55-74 years,538,3816215,14.1,United States2009,0.951,102984761,26986,Millenials
United States,2009,female,75+ years,570,2014340,28.3,United States2009,0.951,54359181,26986,G.I. Generation
United States,2010,male,5-14 years,39,2564600,1.52,United States2010,0.953,67342237,26258,Silent
United States,2010,male,15-24 years,1214,3756674,32.32,United States2010,0.953,98644167,26258,Generation X
United States,2010,male,25-34 years,482,3468989,13.89,United States2010,0.953,91090025,26258,Boomers
United States,2010,male,35-54 years,642,1571418,40.85,United States2010,0.953,41262888,26258,Generation Z
United States,2010,male,55-74 years,2436,4050124,60.15,United States2010,0.953,106349688,26258,Millenials
United States,2010,male,75+ years,302,408323,73.96,United States2010,0.953,10721899,26258,Boomers
United States,2010,female,5-14 years,210,2858500,7.35,United States2010,0.953,75059574,26258,Generation X
United States,2010,female,15-24 years,126,1240683,10.16,United States2010,0.953,32578323,26258,Generation Z
United States,2010,female,25-34 years,617,3004708,20.53,United States2010,0.953,78898759,26258,Boomers
United States,2010,female,35-54 years,255,4801771,5.31,United States2010,0.953,126086719,26258,Boomers
United States,2010,female,55-74 years,193,1811168,10.66,United States2010,0.953,47558334,26258,Silent
United States,2010,female,75+ years,184,1301094,14.14,United States2010,0.953,34164618,26258,Boomers
United States,2011,male,5-14 years,232,3551176,6.53,United States2011,0.955,112791779,31761,Boomers
United States,2011,male,15-24 years,340,3093353,10.99,United States2011,0.955,98250492,31761,G.I. Generation
United States,2011,male,25-34 years,1902,4148178,45.85,United States2011,0.955,131753643,31761,Generation X
United States,2011,male,35-54 years,1238,2207566,56.08,United States2011,0.955,70116293,31761,Millenials
United States,2011,male,55-74 years,318,991204,32.08,United States2011,0.955,31482433,31761,Silent
United States,2011,male,75+ years,879,4938925,17.8,United States2011,0.955,156869200,31761,Generation X
United States,2011,female,5-14 years,356,4855589,7.33,United States2011,0.955,154222298,31761,Silent
United States,2011,female,15-24 years,16,376744,4.25,United States2011,0.955,11966071,31761,Generation Z
United States,2011,female,25-34 years,628,3520229,17.84,United States2011,0.955,111808846,31761,G.I. Generation
United States,2011,female,35-54 years,874,2866072,30.49,United States2011,0.955,91031636,31761,Silent
United States,2011,female,55-74 years,221,2013682,10.97,United States2011,0.955,63958186,31761,Generation X
United States,2011,female,75+ years,1183,4779444,24.75,United States2011,0.955,151803795,31761,Generation X
United States,2012,male,5-14 years,14,425103,3.29,United States2012,0.957,13150028,30933,Silent
United States,2012,male,15-24 years,782,2697476,28.99,United States2012,0.957,83443039,30933,Boomers
United States,2012,male,25-34 years,1471,4118651,35.72,United States2012,0.957,127405306,30933,G.I. Generation
United States,2012,male,35-54 years,214,2136717,10.02,United States2012,0.957,66096662,30933,Millenials
United States,2012,male,55-74 years,1248,3177485,39.28,United States2012,0.957,98291516,30933,Generation Z
United States,2012,male,75+ years,2205,3162865,69.72,United States2012,0.957,97839264,30933,Silent
United States,2012,female,5-14 years,91,2082771,4.37,United States2012,0.957,64427910,30933,Boomers
United States,2012,female,15-24 years,382,2827742,13.51,United States2012,0.957,87472654,30933,Generation Z
United States,2012,female,25-34 years,908,3186016,28.5,United States2012,0.957,98555411,30933,Boomers
United States,2012,female,35-54 years,745,2404864,30.98,United States2012,0.957,74391453,30933,Boomers
United States,2012,female,55-74 years,882,2403851,36.69,United States2012,0.957,74360117,30933,Millenials
United States,2012,female,75+ years,301,1203827,25.0,United States2012,0.957,37238879,30933,Generation X
United States,2013,male,5-14 years,183,3006877,6.09,United States2013,0.959,89176670,29657,Boomers
United States,2013,male,15-24 years,189,1073024,17.61,United States2013,0.959,31823286,29657,G.I. Generation
United States,2013,male,25-34 years,1195,2673133,44.7,United States2013,0.959,79278633,29657,G.I. Generation
United States,2013,male,35-54 years,50,396169,12.62,United States2013,0.959,11749410,29657,Millenials
United States,2013,male,55-74 years,129,352662,36.58,United States2013,0.959,10459098,29657,Boomers
United States,2013,male,75+ years,357,1190401,29.99,United States2013,0.959,35304403,29657,Millenials
United States,2013,female,5-14 years,26,1743597,1.49,United States2013,0.959,51710853,29657,Generation Z
United States,2013,female,15-24 years,138,592443,23.29,United States2013,0.959,17570420,29657,Millenials
United States,2013,female,25-34 years,43,212456,20.24,United States2013,0.959,6300929,29657,G.I. Generation
United States,2013,female,35-54 years,101,1085700,9.3,United States2013,0.959,32199225,29657,Generation Z
United States,2013,female,55-74 years,399,1333359,29.92,United States2013,0.959,39544190,29657,Silent
United States,2013,female,75+ years,220,3787860,5.81,United States2013,0.959,112338729,29657,G.I. Generation
United States,2014,male,5-14 years,158,2656051,5.95,United States2014,0.961,87041709,32771,Silent
United States,2014,male,15-24 years,270,1899904,14.21,United States2014,0.961,62261941,32771,Millenials
United States,2014,male,25-34 years,331,1074962,30.79,United States2014,0.961,35227685,32771,Generation Z
United States,2014,male,35-54 years,240,1771987,13.54,United States2014,0.961,58069961,32771,Boomers
United States,2014,male,55-74 years,680,2475055,27.47,United States2014,0.961,81110271,32771,Silent
United States,2014,male,75+ years,257,617217,41.64,United States2014,0.961,20226879,32771,Generation X
United States,2014,female,5-14 years,92,2909401,3.16,United States2014,0.961,95344267,32771,Boomers
United States,2014,female,15-24 years,435,3300402,13.18,United States2014,0.961,108157800,32771,Millenials
United States,2014,female,25-34 years,371,1785672,20.78,United States2014,0.961,58518433,32771,Millenials
United States,2014,female,35-54 years,88,933723,9.42,United States2014,0.961,30599128,32771,G.I. Generation
United States,2014,female,55-74 years,158,621860,25.41,United States2014,0.961,20379035,32771,Generation X
United States,2014,female,75+ years,139,585121,23.76,United States2014,0.961,19175058,32771,Boomers
United States,2015,male,5-14 years,395,4503729,8.77,United States2015,0.963,152733555,33912,Generation Z
United States,2015,male,15-24 years,1056,4880322,21.64,United States2015,0.963,165504836,33912,Generation Z
United States,2015,male,25-34 years,1286,4661004,27.59,United States2015,0.963,158067173,33912,G.I. Generation
United States,2015,male,35-54 years,783,4225196,18.53,United States2015,0.963,143287752,33912,Boomers
United States,2015,male,55-74 years,683,2242094,30.46,United States2015,0.963,76035433,33912,Generation X
United States,2015,male,75+ years,822,3130976,26.25,United States2015,0.963,106179811,33912,G.I. Generation
United States,2015,female,5-14 years,146,4673668,3.12,United States2015,0.963,158496643,33912,Generation Z
United States,2015,female,15-24 years,80,1815700,4.41,United States2015,0.963,61575267,33912,Boomers
United States,2015,female,25-34 years,193,1168306,16.52,United States2015,0.963,39620396,33912,Millenials
United States,2015,female,35-54 years,15,213012,7.04,United States2015,0.963,7223809,33912,Generation Z
United States,2015,female,55-74 years,408,2176836,18.74,United States2015,0.963,73822359,33912,Generation Z
United States,2015,female,75+ years,903,3780677,23.88,United States2015,0.963,128212918,33912,G.I. Generation
Japan,2000,male,5-14 years,320,3757379,8.52,Japan2000,0.663,178159049,47415,G.I. Generation
Japan,2000,male,15-24 years,372,4017283,9.26,Japan2000,0.663,190482599,47415,Millenials
Japan,2000,male,25-34 years,166,1094743,15.16,Japan2000,0.663,51908091,47415,Generation Z
Japan,2000,male,35-54 years,853,1922386,44.37,Japan2000,0.663,91151428,47415,Generation Z
Japan,2000,male,55-74 years,1843,4518403,40.79,Japan2000,0.663,214243594,47415,Generation X
Japan,2000,male,75+ years,777,1314620,59.1,Japan2000,0.663,62333730,47415,Generation Z
Japan,2000,female,5-14 years,12,519771,2.31,Japan2000,0.663,24645346,47415,Generation Z
Japan,2000,female,15-24 years,665,4711194,14.12,Japan2000,0.663,223384929,47415,Boomers
Japan,2000,female,25-34 years,744,4011320,18.55,Japan2000,0.663,190199859,47415,G.I. Generation
Japan,2000,female,35-54 years,303,3985266,7.6,Japan2000,0.663,188964488,47415,Millenials
Japan,2000,female,55-74 years,320,3937145,8.13,Japan2000,0.663,186682794,47415,Silent
Japan,2000,female,75+ years,1370,3859801,35.49,Japan2000,0.663,183015468,47415,Generation Z
Japan,2001,male,5-14 years,131,2018343,6.49,Japan2001,0.665,107661927,53341,Millenials
Japan,2001,male,15-24 years,530,2791331,18.99,Japan2001,0.665,148894452,53341,Millenials
Japan,2001,male,25-34 years,1186,3656175,32.44,Japan2001,0.665,195026736,53341,Boomers
Japan,2001,male,35-54 years,1384,3637659,38.05,Japan2001,0.665,194039060,53341,Generation Z
Japan,2001,male,55-74 years,1664,4560562,36.49,Japan2001,0.665,243268312,53341,Silent
Japan,2001,male,75+ years,851,4746960,17.93,Japan2001,0.665,253211105,53341,Generation Z
Japan,2001,female,5-14 years,19,683814,2.78,Japan2001,0.665,36475828,53341,G.I. Generation
Japan,2001,female,15-24 years,700,4674167,14.98,Japan2001,0.665,249328200,53341,Millenials
Japan,2001,female,25-34 years,258,3594745,7.18,Japan2001,0.665,191749952,53341,Silent
Japan,2001,female,35-54 years,27,530823,5.09,Japan2001,0.665,28315022,53341,Generation X
Japan,2001,female,55-74 years,760,4642728,16.37,Japan2001,0.665,247651189,53341,Millenials
Japan,2001,female,75+ years,136,994498,13.68,Japan2001,0.665,53048253,53341,Generation X
Japan,2002,male,5-14 years,198,2690422,7.36,Japan2002,0.667,156012510,57988,Generation X
Japan,2002,male,15-24 years,455,3772398,12.06,Japan2002,0.667,218754262,57988,Silent
Japan,2002,male,25-34 years,378,1800796,20.99,Japan2002,0.667,104424772,57988,G.I. Generation
Japan,2002,male,35-54 years,1265,4630209,27.32,Japan2002,0.667,268497108,57988,G.I. Generation
Japan,2002,male,55-74 years,443,2370646,18.69,Japan2002,0.667,137469301,57988,G.I. Generation
Japan,2002,male,75+ years,514,1391486,36.94,Japan2002,0.667,80689655,57988,Millenials
Japan,2002,female,5-14 years,156,4591260,3.4,Japan2002,0.667,266238529,57988,Generation Z
Japan,2002,female,15-24 years,87,1256466,6.92,Japan2002,0.667,72860099,57988,Generation X
Japan,2002,female,25-34 years,320,4813137,6.65,Japan2002,0.667,279104759,57988,Boomers
Japan,2002,female,35-54 years,233,2768334,8.42,Japan2002,0.667,160530480,57988,Millenials
Japan,2002,female,55-74 years,438,2107126,20.79,Japan2002,0.667,122188272,57988,Generation Z
Japan,2002,female,75+ years,118,1184670,9.96,Japan2002,0.667,68696784,57988,Generation Z
Japan,2003,male,5-14 years,149,3019777,4.93,Japan2003,0.669,177370872,58736,Silent
Japan,2003,male,15-24 years,477,2717073,17.56,Japan2003,0.669,159591124,58736,Generation Z
Japan,2003,male,25-34 years,335,3873710,8.65,Japan2003,0.669,227527834,58736,G.I. Generation
Japan,2003,male,35-54 years,392,1991884,19.68,Japan2003,0.669,116996123,58736,Boomers
Japan,2003,male,55-74 years,2704,4043598,66.87,Japan2003,0.669,237506446,58736,Millenials
Japan,2003,male,75+ years,801,2158325,37.11,Japan2003,0.669,126772271,58736,G.I. Generation
Japan,2003,female,5-14 years,118,2626437,4.49,Japan2003,0.669,154267491,58736,Millenials
Japan,2003,female,15-24 years,147,1057014,13.91,Japan2003,0.669,62085212,58736,Silent
Japan,2003,female,25-34 years,1152,4065511,28.34,Japan2003,0.669,238793537,58736,Generation Z
Japan,2003,female,35-54 years,681,4185055,16.27,Japan2003,0.669,245815123,58736,Millenials
Japan,2003,female,55-74 years,272,2150683,12.65,Japan2003,0.669,126323407,58736,Silent
Japan,2003,female,75+ years,63,610440,10.32,Japan2003,0.669,35855056,58736,Millenials
Japan,2004,male,5-14 years,339,3286042,10.32,Japan2004,0.671,198121575,60291,Millenials
Japan,2004,male,15-24 years,219,1840723,11.9,Japan2004,0.671,110980608,60291,Boomers
Japan,2004,male,25-34 years,866,4187141,20.68,Japan2004,0.671,252450508,60291,Generation X
Japan,2004,male,35-54 years,533,2293407,23.24,Japan2004,0.671,138273768,60291,Generation Z
Japan,2004,male,55-74 years,535,3942842,13.57,Japan2004,0.671,237721267,60291,G.I. Generation
Japan,2004,male,75+ years,2442,4493850,54.34,Japan2004,0.671,270942563,60291,G.I. Generation
Japan,2004,female,5-14 years,166,2659796,6.24,Japan2004,0.671,160364041,60291,Generation X
Japan,2004,female,15-24 years,89,1437860,6.19,Japan2004,0.671,86691250,60291,Boomers
Japan,2004,female,25-34 years,225,834925,26.95,Japan2004,0.671,50339179,60291,Millenials
Japan,2004,female,35-54 years,73,288275,25.32,Japan2004,0.671,17380635,60291,Boomers
Japan,2004,female,55-74 years,167,2590835,6.45,Japan2004,0.671,156206254,60291,Generation Z
Japan,2004,female,75+ years,431,4182760,10.3,Japan2004,0.671,252186369,60291,Millenials
Japan,2005,male,5-14 years,122,1479192,8.25,Japan2005,0.673,80482218,54409,Millenials
Japan,2005,male,15-24 years,390,3392176,11.5,Japan2005,0.673,184566877,54409,Silent
Japan,2005,male,25-34 years,728,2141031,34.0,Japan2005,0.673,116492601,54409,Silent
Japan,2005,male,35-54 years,332,998160,33.26,Japan2005,0.673,54309468,54409,Boomers
Japan,2005,male,55-74 years,478,3900732,12.25,Japan2005,0.673,212237196,54409,G.I. Generation
Japan,2005,male,75+ years,897,1907229,47.03,Japan2005,0.673,103771532,54409,G.I. Generation
Japan,2005,female,5-14 years,197,4756672,4.14,Japan2005,0.673,258808534,54409,Generation Z
Japan,2005,female,15-24 years,210,3716346,5.65,Japan2005,0.673,202204831,54409,Boomers
Japan,2005,female,25-34 years,263,977666,26.9,Japan2005,0.673,53194398,54409,G.I. Generation
Japan,2005,female,35-54 years,457,3064845,14.91,Japan2005,0.673,166756934,54409,Millenials
Japan,2005,female,55-74 years,287,1853041,15.49,Japan2005,0.673,100823185,54409,Millenials
Japan,2005,female,75+ years,672,3504331,19.18,Japan2005,0.673,190669184,54409,G.I. Generation
Japan,2006,male,5-14 years,19,211229,8.99,Japan2006,0.675,11245140,53236,Boomers
Japan,2006,male,15-24 years,162,1932674,8.38,Japan2006,0.675,102889232,53236,Millenials
Japan,2006,male,25-34 years,1289,3992065,32.29,Japan2006,0.675,212524463,53236,Boomers
Japan,2006,male,35-54 years,1413,2801124,50.44,Japan2006,0.675,149122666,53236,Millenials
Japan,2006,male,55-74 years,1841,3843372,47.9,Japan2006,0.675,204608535,53236,Generation X
Japan,2006,male,75+ years,2289,4536146,50.46,Japan2006,0.675,241489554,53236,Generation X
Japan,2006,female,5-14 years,59,4731484,1.25,Japan2006,0.675,251888709,53236,Generation X
Japan,2006,female,15-24 years,173,1066761,16.22,Japan2006,0.675,56790861,53236,Generation Z
Japan,2006,female,25-34 years,143,778508,18.37,Japan2006,0.675,41445215,53236,Silent
Japan,2006,female,35-54 years,650,2224460,29.22,Japan2006,0.675,118422963,53236,Boomers
Japan,2006,female,55-74 years,723,4253837,17.0,Japan2006,0.675,226460347,53236,Generation X
Japan,2006,female,75+ years,637,3320803,19.18,Japan2006,0.675,176788673,53236,Millenials
Japan,2007,male,5-14 years,194,3542186,5.48,Japan2007,0.677,191907726,54177,Boomers
Japan,2007,male,15-24 years,891,2947653,30.23,Japan2007,0.677,159697256,54177,Generation Z
Japan,2007,male,25-34 years,589,1730012,34.05,Japan2007,0.677,93728186,54177,Silent
Japan,2007,male,35-54 years,1100,4407993,24.95,Japan2007,0.677,238815216,54177,Silent
Japan,2007,male,55-74 years,163,302093,53.96,Japan2007,0.677,16366724,54177,G.I. Generation
Japan,2007,male,75+ years,38,536142,7.09,Japan2007,0.677,29046976,54177,Generation X
Japan,2007,female,5-14 years,91,2129268,4.27,Japan2007,0.677,115358985,54177,Boomers
Japan,2007,female,15-24 years,852,4923600,17.3,Japan2007,0.677,266749652,54177,Boomers
Japan,2007,female,25-34 years,286,3740395,7.65,Japan2007,0.677,202646247,54177,Generation Z
Japan,2007,female,35-54 years,499,1625613,30.7,Japan2007,0.677,88072081,54177,Millenials
Japan,2007,female,55-74 years,24,402047,5.97,Japan2007,0.677,21782008,54177,Generation X
Japan,2007,female,75+ years,121,725444,16.68,Japan2007,0.677,39302935,54177,G.I. Generation
Japan,2008,male,5-14 years,91,3974456,2.29,Japan2008,0.679,260896869,65643,Generation Z
Japan,2008,male,15-24 years,1214,3083832,39.37,Japan2008,0.679,202433267,65643,Boomers
Japan,2008,male,25-34 years,121,511934,23.64,Japan2008,0.679,33605096,65643,Generation Z
Japan,2008,male,35-54 years,826,3117136,26.5,Japan2008,0.679,204619455,65643,Silent
Japan,2008,male,55-74 years,220,2043634,10.77,Japan2008,0.679,134151117,65643,Generation Z
Japan,2008,male,75+ years,1643,4043694,40.63,Japan2008,0.679,265441888,65643,Generation X
Japan,2008,female,5-14 years,302,4653210,6.49,Japan2008,0.679,305452600,65643,Silent
Japan,2008,female,15-24 years,398,2673190,14.89,Japan2008,0.679,175477323,65643,G.I. Generation
Japan,2008,female,25-34 years,319,4115998,7.75,Japan2008,0.679,270188169,65643,Generation X
Japan,2008,female,35-54 years,522,3046111,17.14,Japan2008,0.679,199957132,65643,Generation X
Japan,2008,female,55-74 years,278,2077614,13.38,Japan2008,0.679,136381680,65643,G.I. Generation
Japan,2008,female,75+ years,2009,4787127,41.97,Japan2008,0.679,314243369,65643,Generation X
Japan,2009,male,5-14 years,33,617536,5.34,Japan2009,0.681,38216346,61885,G.I. Generation
